List Date,company_name,issue_size(Cr),QIB_subscription,NII_subscription,RII_subscription,Total_subscription,offer_price(Rs),list_price(Rs),listing_gains(%)
06-Feb-24,BLS E-Services Ltd,309.29,123.3,300.14,237,162.47,135,309,128.89
31-Jan-24,Nova Agritech Ltd,143.81,79.31,224.08,77.12,109.37,41,56,36.59
30-Jan-24,Epack Durable Ltd,640.05,25.5,28.1,6.29,16.37,230,225,-2.17
23-Jan-24,Medi Assist Health...,1171.58,40.14,14.85,3.19,16.25,418,465,11.24
16-Jan-24,Jyoti CNC Automati...,1000,44.13,36.48,26.17,38.53,331,372,12.39
29-Dec-23,Innova Captab Ltd,570,116.73,64.95,17.15,55.26,448,456.1,1.81
28-Dec-23,Azad Engineering L...,740,179.66,87.61,23.79,80.65,524,710,35.5
27-Dec-23,Happy Forgings Ltd,1008.59,220.48,62.17,15.09,82.04,850,1001.25,17.79
27-Dec-23,Credo Brands Marke...,549.78,104.95,55.52,19.94,51.85,280,282,0.71
27-Dec-23,RBZ Jewellers Ltd,100,13.43,9.27,24.74,16.86,100,100,0
26-Dec-23,Muthoot Microfin L...,960,17.47,13.2,7.61,11.52,291,278,-4.47
26-Dec-23,Motisons Jewellers...,151.09,157.4,233.91,122.28,159.61,55,103.9,88.91
26-Dec-23,Suraj Estate Devel...,400,24.31,18.9,9.3,15.65,360,343.8,-4.5
21-Dec-23,Inox India Ltd,1459.32,147.8,53.2,15.3,61.28,660,933.15,41.39
20-Dec-23,Doms Industries Lt...,1200,115.97,66.51,69.67,93.52,790,1400,77.22
20-Dec-23,India Shelter Fina...,1200,89.7,28.51,9.95,36.71,493,612.7,24.28
01-Dec-23,Flair Writing Indu...,593,115.6,33.37,13.01,46.68,304,503,65.46
30-Nov-23,Tata Technologies ...,3042.51,203.41,62.11,16.5,69.43,500,1199.95,139.99
30-Nov-23,Gandhar Oil Refine...,500.69,129,62.23,28.95,64.07,169,295.4,74.79
30-Nov-23,Fedbank Financial ...,1092.26,3.51,1.45,1.82,2.2,140,137.75,-1.61
29-Nov-23,Indian Renewable E...,2150.21,104.57,24.16,7.73,38.8,32,50,56.25
15-Nov-23,ASK Automotive Ltd,833.91,142.41,35.47,5.7,51.14,282,304.9,8.12
13-Nov-23,Protean eGov Techn...,489.95,46.94,31.62,8.93,23.86,792,792,0
10-Nov-23,ESAF Small Finance...,463,173.52,84.37,16.97,73.15,60,71.9,19.83
07-Nov-23,Honasa Consumer Lt...,1701.44,11.5,4.02,1.35,7.61,324,324,0
06-Nov-23,Cello World Ltd,1900,108.57,24.42,3.06,38.9,648,831,28.24
01-Nov-23,Blue Jet Healthcar...,840.27,13.72,13.59,2.24,7.95,346,359.9,4.02
26-Oct-23,IRM Energy Ltd,544.36,44.73,48.34,9.29,27.05,505,479,-5.15
12-Oct-23,Plaza Wires Ltd,71.28,42.84,388.09,374.81,160.97,54,84,55.56
06-Oct-23,Valiant Laboratori...,152.46,20.83,73.64,16.06,29.76,140,161,15
03-Oct-23,JSW Infrastructure...,2800,57.09,15.99,10.32,37.37,119,143,20.17
04-Oct-23,Updater Services L...,640,4.48,0.85,1.39,2.9,300,299.9,-0.03
03-Oct-23,Manoj Vaibhav Gems...,270.2,1.06,5.18,1.66,2.25,215,215,0
27-Sep-23,SignatureGlobal In...,730,12.71,13.54,6.82,11.88,385,445,15.58
27-Sep-23,Sai Silks (Kalaman...,1201,12.35,2.47,0.88,4.4,222,230.1,3.65
27-Sep-23,Sai Silks (Kalaman...,1201,0,0.43,1.31,0.87,222,230.1,3.65
28-Sep-23,Yatra Online Ltd,775,2.05,0.42,2.11,1.61,142,130,-8.45
22-Sep-23,Samhi Hotels Ltd,1370.1,8.82,1.22,1.11,5.33,126,130.55,3.61
22-Sep-23,Zaggle Prepaid Oce...,563.38,16.73,8.85,5.94,12.57,164,162,-1.22
20-Sep-23,R R Kabel Ltd,1964.01,52.26,13.23,2.13,18.69,1035,1179,13.91
21-Sep-23,EMS Ltd,321.25,0.67,29.73,16.62,15.05,211,281.55,33.44
18-Sep-23,Jupiter Life Line ...,869.08,187.32,34.75,7.73,63.72,735,960,30.61
11-Sep-23,Ratnaveer Precisio...,165.03,133.05,135.21,54.01,93.99,98,128,30.61
11-Sep-23,Rishabh Instrument...,490.78,72.54,31.29,8.44,31.65,441,460,4.31
05-Sep-23,Vishnu Prakash R P...,308.61,171.69,111.03,32.02,87.82,99,163.3,64.95
31-Aug-23,Aeroflex Industrie...,351,194.73,126.13,34.41,97.11,108,197.4,82.78
29-Aug-23,Pyramid Technoplas...,153.05,9.94,32.24,14.72,18.29,166,185,11.45
23-Aug-23,TVS Supply Chain S...,880,1.35,2.35,7.61,2.78,197,206.3,4.72
18-Aug-23,Concord Biotech Lt...,1550.52,67.67,16.99,3.78,24.87,741,900.05,21.46
16-Aug-23,SBFC Finance Ltd,1025,192.9,49.09,10.99,70.16,57,81.99,43.84
07-Aug-23,Yatharth Hospital ...,686.55,85.1,37.22,8.34,36.16,300,304,1.33
27-Jul-23,Netweb Technologie...,631,228.91,81.81,19.15,90.36,500,942.5,88.5
21-Jul-23,Utkarsh Small Fina...,500,124.85,81.64,72.11,101.91,25,39.95,59.8
14-Jul-23,Senco Gold Ltd,405,180.94,64.99,15.46,73.35,317,431,35.96
10-Jul-23,Cyient DLM Ltd,592,90.44,45.05,49.22,67.31,265,401,51.32
07-Jul-23,Ideaforge Technolo...,567.25,125.81,80.58,85.2,106.06,672,1305.1,94.21
04-Jul-23,HMA Agro Industrie...,480,1.74,2.97,0.96,1.62,585,615,5.13
16-Jun-23,IKIO Technologies ...,606.5,163.58,63.35,13.86,66.3,285,391,37.19
19-May-23,Nexus Select Trust,3200,0,0,0,3.61,100,102.27,2.27
09-May-23,Mankind Pharma Ltd,4326.36,49.16,3.8,0.92,15.32,1080,1300,20.37
18-Apr-23,Avalon Technologie...,865,3.57,0.41,0.84,2.21,436,431,-1.15
03-Apr-23,Udayshivakumar Inf...,66,40.47,60.42,14.1,30.63,35,35,0
23-Mar-23,Global Surfaces Lt...,154.98,8.95,33.1,5.12,12.21,140,163,16.43
14-Mar-23,Divgi Torqtransfer...,412.12,7.83,1.4,4.31,5.44,590,600,1.69
12-Jan-23,Sah Polymers Ltd,66.3,2.4,32.69,39.78,17.46,65,85,30.77
04-Jan-23,Radiant Cash Manag...,256.64,1.01,0.66,0.21,0.53,94,99.3,5.64
30-Dec-22,Elin Electronics L...,475,4.51,3.29,2.2,3.09,247,243,-1.62
29-Dec-22,KFin Technologies ...,1500,4.17,0.23,1.36,2.59,366,369,0.82
23-Dec-22,Landmark Cars Ltd,552,8.71,1.32,0.59,3.06,506,471.3,-6.86
23-Dec-22,Abans Financial Se...,345.6,4.1,1.48,0.4,1.1,270,270,0
22-Dec-22,Sula Vineyards Ltd,960.35,4.13,1.51,1.65,2.33,357,358,0.28
12-Dec-22,Uniparts India Ltd,835.61,67.14,17.86,4.63,25.32,577,575,-0.35
08-Dec-22,Dharmaj Crop Guard...,251.09,48.21,52.29,21.53,35.49,237,266,12.24
24-Nov-22,Keystone Realtors ...,635,3.84,3.03,0.53,2.01,541,555,2.59
23-Nov-22,Inox Green Energy ...,740,1.05,0.47,4.7,1.55,65,60.5,-6.92
22-Nov-22,Kaynes Technology ...,857.82,98.47,21.21,4.1,34.16,587,775,32.03
21-Nov-22,Archean Chemical I...,1462.31,48.91,14.9,9.96,32.23,407,449,10.32
21-Nov-22,Five-Star Business...,1588.51,1.77,0.61,0.11,0.7,474,449.95,-5.07
16-Nov-22,Bikaji Foods Inter...,880.85,80.63,7.1,4.77,26.67,300,321.15,7.05
16-Nov-22,Global Health Ltd,2205.57,28.64,4.02,0.88,9.58,336,398.15,18.5
15-Nov-22,Fusion Finance Ltd,1103.99,8.59,1.38,0.51,2.95,368,360.5,-2.04
11-Nov-22,DCX Systems Ltd,500,84.32,43.97,61.77,69.79,207,286.25,38.29
20-Oct-22,Tracxn Technologie...,309.38,1.66,0.23,2.39,0.71,80,83,3.75
17-Oct-22,Electronics Mart I...,500,169.54,63.59,19.72,71.93,59,89.4,51.53
26-Sep-22,Harsha Engineers I...,755,178.26,40.36,12.44,47.19,330,444,34.55
15-Sep-22,Tamilnad Mercantil...,807.84,1.62,2.94,6.48,2.86,510,510,0
06-Sep-22,Dreamfolks Service...,562.1,70.53,37.66,43.66,56.68,326,505,54.91
26-Aug-22,Syrma SGS Technolo...,840.13,87.56,7.13,2.84,15.59,220,262,19.09
03-Jun-22,Aether Industries ...,808.04,17.57,1.33,0.59,2.91,642,706.15,9.99
01-Jun-22,eMudhra Ltd,412.79,4.05,1.28,2.61,2.72,256,271,5.86
30-May-22,Ethos Ltd,402.26,1.06,0.76,0.32,0.61,878,830,-5.47
27-May-22,Paradeep Phosphate...,1501.73,3.01,0.32,0.8,0.83,42,43.55,3.69
24-May-22,Venus Pipes & Tube...,165.42,12.02,6.59,11.12,8.69,326,335,2.76
24-May-22,Delhivery Ltd,5235,2.66,0.27,0.31,0.39,487,493,1.23
20-May-22,Prudent Corporate ...,537.94,1.26,0.74,0.61,0.81,630,660,4.76
17-May-22,Life Insurance Cor...,20557.2,2.83,1.39,1.14,1.64,949,867.2,-8.62
10-May-22,Rainbow Children's...,1580.85,38.9,1.37,0.7,5.25,542,506,-6.64
09-May-22,Campus Activewear ...,1399.6,152.04,10.68,4.73,28.55,292,355,21.58
13-Apr-22,Hariom Pipe Indust...,130.05,1.91,2.68,6.92,3.57,153,214,39.87
11-Apr-22,Veranda Learning S...,200,2.02,2.09,5.68,2.24,137,157,14.6
07-Apr-22,Uma Exports Ltd,60,2.81,0.94,6.28,4.64,68,80,17.65
08-Apr-22,Patanjali Foods Lt...,4300,2.2,11.75,0.9,3.6,650,850,30.77
16-Feb-22,Vedant Fashions Lt...,3149.19,7.49,1.07,0.39,2.57,866,936,8.08
08-Feb-22,AWL Agri Business ...,3600,5.73,56.3,3.92,17.37,230,221,-3.91
31-Jan-22,AGS Transact Techn...,680,2.68,25.61,3.08,7.79,175,176,0.57
31-Dec-21,CMS Info Systems L...,1100,1.98,1.45,2.15,1.95,216,218.5,1.16
28-Dec-21,Supriya Lifescienc...,700,31.83,161.22,56.01,71.51,274,425,55.11
27-Dec-21,HP Adhesives Ltd,125.96,1.82,19.04,81.24,20.96,274,319,16.42
24-Dec-21,Data Patterns (Ind...,588.22,190.86,254.22,23.14,119.62,585,864,47.69
23-Dec-21,Medplus Health Ser...,1398.3,111.9,85.33,5.24,52.59,796,1015,27.51
22-Dec-21,Metro Brands Ltd,1367.51,8.49,3.02,1.13,3.64,500,436,-12.8
21-Dec-21,C.E. Info Systems ...,1039.61,196.36,424.69,15.2,154.71,1033,1581,53.05
20-Dec-21,Shriram Properties...,600,1.85,4.82,12.72,4.6,118,94,-20.34
17-Dec-21,Rategain Travel Te...,1335.74,8.42,42.04,8.08,17.41,425,364.8,-14.16
14-Dec-21,Anand Rathi Wealth...,659.38,2.5,25.42,7.76,9.78,550,602.05,9.46
13-Dec-21,Tega Industries Lt...,619.23,215.45,666.19,29.44,219.04,453,753,66.23
10-Dec-21,Star Health & Alli...,6400.44,1.03,0.19,1.1,0.79,900,848.8,-5.69
30-Nov-21,Go Fashion (India)...,1013.61,100.73,262.08,49.7,135.46,690,1316,90.72
26-Nov-21,Tarsons Products L...,1023.47,115.77,184.58,10.56,77.49,662,700,5.74
23-Nov-21,Latent View Analyt...,600,145.48,850.66,119.44,326.49,197,530,169.04
18-Nov-21,Sapphire Foods Ind...,2073.25,7.5,3.46,8.7,6.62,1180,1311,11.1
18-Nov-21,One 97 Communicati...,18300,2.79,0.24,1.66,1.89,2150,1955,-9.07
15-Nov-21,PB Fintech Ltd,5709.72,24.89,7.82,3.31,16.59,980,1150,17.35
15-Nov-21,S J S Enterprises ...,800,1.42,2.32,1.38,1.59,542,540,-0.37
15-Nov-21,Sigachi Industries...,125.43,86.51,172.43,80.49,101.91,163,575,252.76
12-Nov-21,Fino Payments Bank...,1200.29,1.65,0.21,5.92,2.03,577,548,-5.03
10-Nov-21,FSN E-Commerce Ven...,5349.72,91.18,112.02,12.24,81.78,1125,2001,77.87
11-Oct-21,Aditya Birla Sun L...,2768.26,10.36,4.39,3.24,5.24,712,712,0
01-Oct-21,Paras Defence and ...,170.78,169.65,927.7,112.81,304.26,175,475,171.43
24-Sep-21,Sansera Engineerin...,1282.52,0.29,0.07,0.87,0.53,744,811.35,9.05
14-Sep-21,Vijaya Diagnostic ...,1894.26,13.07,1.32,1.09,4.54,531,542.3,2.13
14-Sep-21,Acutaas Chemicals ...,569.64,86.64,154.81,13.36,64.54,610,902,47.87
24-Aug-21,Aptus Value Housin...,2780.05,32.41,33.91,1.35,17.2,353,329.95,-6.53
24-Aug-21,Chemplast Sanmar L...,3850,2.7,1.03,2.29,2.17,541,525,-2.96
23-Aug-21,Nuvoco Vistas Corp...,5000,4.23,0.66,0.73,1.71,570,471,-17.37
20-Aug-21,Cartrade Tech Ltd,2998.51,35.45,41,2.75,20.29,1618,1600,-1.11
